ORDERNUMBER,PRODUCTCODE,PROMOTION_NAME,CALC_SALES
11020,S59_1166,,4223.52
11026,S33_3559,,10078.62
11027,S24_2153,,4048.02
11031,S35_3524,,4216.68
11033,S67_2949,,3212.86
11035,S55_1974,,3132.48
11043,S70_3060,,9529.519999999999
11049,S24_4486,,10218.439999999999
11051,S60_2665,,7372.0
11055,S49_1250,,7256.04
11056,S40_2544,,8404.800000000001
11064,S43_3429,,12740.56
11068,S41_3637,,12469.519999999999
11069,S27_4569,,4335.75
11073,S41_2949,,3592.0
11075,S43_2134,,5917.12
11077,S16_2903,,6596.55
11084,S60_2445,,6765.639999999999
11088,S49_4386,,6713.02
11089,S32_1682,,5619.75
11110,S53_1077,,14141.130000000001
11118,S70_3741,,5072.54
11121,S58_3307,,3795.4799999999996
11123,S65_1646,,5947.62
11130,S62_2006,,5034.8099999999995
11132,S27_2063,,5658.92
11134,S17_2782,,3640.89
11135,S30_2309,,7932.08
11139,S69_4577,,3951.52
11146,S64_2513,,5353.4
11148,S32_3209,,4213.79
11156,S42_2752,,4172.31
11167,S21_1809,,9682.64
11171,S11_2352,,8509.68
11178,S12_3645,,7244.13
11179,S55_4993,,7037.799999999999
11186,S32_2068,,11568.5
11189,S14_4588,,7659.6
11193,S50_4084,,3690.7999999999997
11201,S56_3860,,8865.3
11204,S39_3405,,13139.279999999999
11207,S56_3292,,7501.41
11210,S48_3726,,9102.28
11212,S50_3256,,6903.6
11219,S24_3813,,4138.62
11223,S29_4370,,10340.47
11224,S58_4002,,12670.0
11233,S67_2324,,9034.199999999999
11237,S33_3343,,7233.13
11238,S59_1641,,6154.75
11242,S54_4824,,9138.210000000001
11256,S70_1308,,4156.08
11259,S23_3375,,11207.34
11260,S20_2279,,3412.8
11263,S27_3474,,7264.38
11265,S10_4961,,4873.5
11269,S69_3753,,8394.92
11273,S54_3422,,7037.25
11274,S26_4003,,9540.57
11275,S13_3788,,4243.16
11276,S26_1719,,3750.5999999999995
11279,S25_1687,,8138.700000000001
11290,S27_2668,,6918.820000000001
11296,S12_2285,,8327.880000000001
11297,S16_1011,,3690.6
11300,S36_1732,,3504.2000000000003
11312,S35_2863,,3955.16
11313,S48_4191,,4771.469999999999
11320,S10_1674,,7792.8
11325,S55_2599,,7510.6
11328,S37_1056,,5985.29
11332,S50_1222,,6766.28
11335,S22_1993,,6641.599999999999
11338,S28_4566,,6716.4
11342,S35_3339,,4427.7
11344,S12_3742,,7402.59
11346,S35_2514,,4385.04
11347,S67_2896,,5062.820000000001
11348,S11_4538,,4597.76
11351,S42_3209,,7839.38
11355,S67_2909,,6879.4
11358,S11_4384,,5366.64
11360,S26_1786,,5681.88
11361,S44_3558,,7268.4800000000005
11365,S11_2174,,7601.55
11368,S61_1256,,3934.37
11369,S34_2247,,8534.68
11372,S40_4637,,10626.630000000001
11376,S35_3295,,6448.8
11378,S27_4119,,4305.6
11379,S61_1361,,4171.46
11390,S44_2347,,3090.09
11391,S25_1402,,6542.11
11395,S44_3159,,5209.5
11396,S27_3465,,3586.72
11400,S41_2877,,4502.4
11402,S39_4377,,5319.81
11405,S37_4836,,7920.660000000001
11408,S43_2461,,4710.75
11409,S63_2680,,9562.08
11411,S55_2447,,4709.32
11413,S68_3748,,11298.960000000001
11416,S47_1714,,6790.420000000001
11419,S36_3687,,6198.040000000001
11425,S57_1151,,4131.0
11427,S58_4235,,13719.32
11431,S31_1386,,7952.4
11433,S53_3564,,4880.0
11437,S47_2244,,7920.45
11442,S55_4683,,6447.06
11446,S35_4648,,4915.67
11448,S60_2917,,9923.65
11450,S22_2959,,4243.16
11457,S17_1153,,9453.6
11464,S32_3416,,5774.0599999999995
11465,S13_1527,,5962.88
11467,S40_1817,,11795.300000000001
11474,S40_2328,,11894.3
11480,S34_2999,,8452.23
11483,S61_1706,,7270.9
11486,S55_4252,,6488.900000000001
11496,S55_3271,,4759.2
11499,S26_2014,,4101.92
11502,S66_2468,,4455.9400000000005
11505,S35_1220,,10629.6
11514,S35_2151,,5049.660000000001
11518,S32_2281,,8232.84
11531,S59_3168,,7420.719999999999
11539,S64_3339,,7819.26
11543,S40_4574,,4264.26
11546,S30_3717,,7986.24
11550,S70_1324,,6388.759999999999
11551,S14_3525,,13767.0
11555,S58_4600,,7329.0
11557,S52_1784,,3847.84
11561,S40_2163,,7470.099999999999
11564,S38_2109,,5499.76
11570,S22_3807,,6808.650000000001
11576,S30_4163,,7394.59
11577,S21_4007,,4510.8
11579,S29_1178,,3455.06
11582,S10_4202,,5735.7699999999995
11585,S19_2859,,3531.2400000000002
11589,S28_2691,,4543.4400000000005
11596,S48_2758,,8856.9
11599,S40_3973,,6672.150000000001
11601,S60_1007,,4162.2
11603,S66_2866,,3475.64
11607,S23_4934,,11635.68
11611,S21_1939,,11609.28
11616,S68_4670,,5004.12
11618,S29_2532,,3109.5
11621,S26_3121,,4651.200000000001
11628,S43_1462,,4479.3
11630,S21_2024,,4828.72
11638,S70_4887,,3238.56
11639,S13_4680,,6062.56
11641,S52_2785,,5028.0
11644,S70_1829,,9775.2
11647,S32_4415,,7161.3099999999995
11656,S61_2054,,7821.839999999999
11662,S23_4785,,4760.5
11666,S34_4033,,4967.04
11670,S18_1987,,7615.3
11675,S41_3417,,6120.51
11680,S46_3053,,7742.57
11684,S32_2561,,12785.4
11688,S38_2379,,12026.3
11689,S17_2315,,5923.75
11691,S63_3017,,4706.4
11693,S69_4138,,5954.2
11696,S70_3807,,7363.889999999999
11702,S41_3497,,5694.599999999999
11703,S47_3064,,5516.0599999999995
11706,S14_1458,,5792.5
11709,S31_2871,,9113.54
11711,S60_1687,,5091.66
11716,S50_4523,,4798.9800000000005
11717,S51_2458,,4916.31
11724,S17_4609,,8139.259999999999
11726,S10_4856,,4490.97
11727,S54_4956,,9267.75
11729,S12_3234,,5870.360000000001
11733,S56_2107,,3154.1899999999996
11737,S33_3473,,5797.4400000000005
11741,S24_1252,,3860.61
11745,S30_2360,,5204.32
11749,S69_2655,,10600.65
11752,S39_1403,,8894.8
11755,S49_1962,,3592.33
11757,S51_2527,,7932.6
11760,S25_4328,,14133.0
11763,S63_4255,,10557.54
11765,S60_4565,,6367.18
11767,S51_2526,,8126.490000000001
11770,S67_3891,,5503.08
11773,S66_4152,,6722.97
11783,S11_2452,,10078.64
11785,S70_4227,,3483.55
11786,S63_1577,,7160.9400000000005
11791,S20_1266,,3743.4
11794,S34_4844,,3062.34
11797,S14_3335,,4594.2
11799,S51_2004,,3876.9500000000003
11803,S31_1158,,3726.46
11807,S51_2332,,9107.52
11814,S65_1557,,11025.69
11820,S14_4120,,7081.2
11826,S19_2565,,6383.5
11828,S42_2340,,10113.19
11831,S40_4995,,5463.3099999999995
11834,S56_1983,,6004.5599999999995
11835,S54_1634,,9689.55
11836,S25_1993,,5546.5
11838,S61_1975,,7275.4
11842,S31_2007,,10484.46
11845,S50_2927,,4812.75
11848,S49_4782,,8967.6
11852,S17_3737,,8832.25
11856,S47_1237,,4892.72
11863,S46_4245,,7556.509999999999
11866,S46_4343,,7754.04
11869,S36_2455,,3379.9500000000003
11873,S64_3496,,3277.3500000000004
11876,S48_1486,,4786.6900000000005
11877,S26_4782,,14601.6
11885,S13_3141,,12411.5
11887,S51_2466,,7531.2
11888,S13_1047,,12766.64
11896,S64_1883,,6280.38
11899,S47_4635,,8356.640000000001
11901,S70_2381,,4639.44
11904,S29_1556,,10107.68
11906,S49_4260,,3087.75
11916,S50_2119,,3886.3999999999996
11922,S29_3167,,3395.7500000000005
11925,S14_1567,,11625.74
11928,S60_3865,,4819.32
11931,S29_4416,,5359.68
11936,S45_2145,,5948.799999999999
11937,S68_3816,,3362.6000000000004
11942,S14_3452,,3903.56
11946,S64_4907,,4223.339999999999
11950,S58_4122,,6160.64
11957,S22_1435,,6094.910000000001
11962,S10_3880,,3321.34
11963,S61_4185,,4596.24
11968,S16_4952,,9222.0
11969,S12_1035,,6836.2
11971,S15_1596,,5492.3
11974,S13_3062,,6014.84
11977,S28_2828,,3376.7999999999997
11979,S16_3925,,4936.0
11984,S14_3264,,3523.7999999999997
11988,S37_3409,,4618.63
11991,S22_2431,,8076.639999999999
11995,S14_1201,,9498.7
12000,S25_2153,,7545.960000000001
12004,S15_4040,,9017.58
12013,S56_2224,,7059.78
12015,S36_1322,,4596.68
12019,S15_1886,,3711.96
12023,S22_1730,,4122.360000000001
12030,S50_2282,,13629.6
12034,S31_2495,,7502.6
12035,S65_3234,,4167.68
12040,S38_2381,,3183.18
12065,S28_1210,,8096.76
12068,S39_1778,,8169.599999999999
12071,S22_2543,,9062.24
12072,S48_4810,,5198.82
12077,S49_3882,,9840.0
12079,S17_4140,,3289.75
12083,S27_3357,,8589.7
12087,S64_3936,,3926.16
12089,S15_1919,,3214.65
12093,S63_2773,,6102.46
12097,S52_1960,,3383.7200000000003
12099,S44_2107,,3475.1
12103,S21_4074,,10370.64
12105,S27_1734,,3565.1
12108,S58_4657,,6758.499999999999
12114,S44_1437,,5422.34
12117,S46_1956,,7722.72
12122,S63_3510,,3283.0200000000004
12126,S42_3262,,6146.99
12130,S14_4063,,7146.72
12132,S61_4421,,7514.68
12136,S43_2461,,9512.5
12139,S61_3160,,8891.24
12140,S18_4433,,4866.96
12142,S41_4036,,4051.75
12145,S34_1569,,3081.54
12146,S31_2664,,11088.66
12156,S26_3328,,13660.35
12159,S39_2429,,11436.12
12163,S62_3553,,11985.119999999999
12167,S32_4462,,13483.2
12175,S37_3638,,6012.900000000001
12179,S22_4268,,7092.799999999999
12181,S58_2343,,3906.18
12185,S33_1260,,3420.69
12187,S23_1639,,7528.660000000001
12196,S51_2089,,9864.0
12197,S46_4203,,12793.14
12198,S29_3513,,8048.7
12202,S17_4629,,5344.92
12209,S51_2028,,9403.5
12213,S64_4054,,7683.76
12217,S54_3359,,7014.599999999999
12220,S24_2391,,5958.68
12224,S49_1635,,3601.15
12227,S40_3822,,3367.55
12230,S60_4161,,5688.04
12232,S15_1449,,11984.56
12240,S33_2844,,3344.85
12247,S58_3796,,6956.46
12248,S45_2416,,4704.2
12256,S44_4164,,4779.04
12257,S44_4524,,7410.34
12258,S26_4251,,5901.0
12263,S28_2362,,12031.0
12267,S35_1968,,13010.439999999999
12269,S53_4864,,14081.4
12273,S30_3341,,7035.5
12275,S53_3342,,11801.900000000001
12277,S11_4401,,5678.1
12279,S55_4313,,9329.0
12280,S22_3604,,5759.04
12281,S65_3620,,3860.78
12284,S19_3103,,3119.7599999999998
12285,S60_1438,,5356.08
12293,S54_1302,,10108.8
12298,S30_2299,,4496.73
12306,S53_3958,,7414.400000000001
12318,S59_2619,,5076.0599999999995
12325,S16_3373,,10850.85
12330,S10_1164,,4775.05
12332,S25_4079,,6264.3
12333,S65_4963,,8351.699999999999
12337,S26_1952,,6873.58
12344,S42_3014,,3886.0
12351,S40_3186,,5668.6
12355,S36_1189,,9560.67
12364,S58_3825,,5036.13
12367,S62_3543,,4015.62
12373,S33_2348,,11267.43
12377,S51_1241,,5387.55
12381,S48_4343,,9661.86
12383,S60_4146,,3822.0399999999995
12386,S40_3588,,7537.66
12396,S57_4006,,10288.18
12400,S63_2089,,4879.68
12403,S37_4672,,3420.4800000000005
12408,S69_3275,,5723.849999999999
12418,S20_4318,,4179.7
12425,S50_4508,,8430.24
12427,S10_3186,,3497.6200000000003
12432,S29_2219,,7101.539999999999
12436,S34_3116,,9474.5
12437,S51_4029,,7148.599999999999
12438,S70_4389,,5117.46
12442,S63_4181,,4363.15
12445,S60_2007,,3322.6400000000003
12449,S49_2715,,3268.7999999999997
12450,S42_3549,,7602.0
12453,S25_4737,,6403.860000000001
12456,S27_4961,,6865.62
12460,S25_3199,,4138.2
12463,S10_4533,,14655.599999999999
12469,S21_4375,,3415.9999999999995
12472,S58_3763,,10061.94
12475,S52_2624,,5668.660000000001
12486,S54_3558,,3944.15
12488,S47_3415,,6629.1
12489,S69_3590,,6438.6
12490,S30_4316,,4998.0
12494,S64_1325,,4261.12
12496,S14_3094,,12577.8
12499,S29_2021,,11897.28
12502,S39_1998,,14742.92
12506,S24_3126,,7811.2
12507,S28_4487,,3845.5199999999995
12510,S30_1579,,8579.64
12518,S22_4493,,7458.33
12522,S11_4838,,5894.54
12529,S49_4777,,4182.09
12532,S60_4064,,6458.88
12533,S27_3762,,6651.4800000000005
12546,S34_4544,,7278.24
12548,S39_2533,,4037.19
12553,S34_1227,,6760.05
12560,S49_2748,,3954.6699999999996
12562,S53_4008,,4034.25
12568,S64_2714,,3862.7999999999997
12572,S57_3228,,7107.900000000001
12581,S59_3894,,10866.24
12586,S11_4665,,7227.070000000001
12587,S21_2076,,8138.55
12593,S33_2950,,4329.0
12594,S16_1924,,3704.6099999999997
12600,S38_2764,,5806.83
12615,S32_2955,,7353.75
12622,S14_3840,,10719.800000000001
12628,S38_1528,,5499.780000000001
12635,S17_2371,,3879.0
12646,S40_4213,,4763.38
12652,S28_2648,,3017.2999999999997
12655,S39_2366,,6827.240000000001
12658,S22_2448,,7446.3099999999995
12660,S54_3260,,12491.050000000001
12664,S66_5000,,3342.95
12665,S55_4678,,3740.3600000000006
12666,S49_4749,,9595.74
12674,S46_3117,,3194.47
12677,S63_4875,,5643.6
12678,S55_2252,,6652.799999999999
12680,S11_4104,,7030.500000000001
12682,S13_2207,,10045.36
12683,S22_2898,,7887.160000000001
12685,S24_3740,,8368.74
12688,S48_2490,,11211.98
12691,S31_4536,,4545.06
12692,S68_3653,,5509.63
12696,S52_4992,,3497.85
12701,S64_2706,,4764.39
12702,S56_2380,,8781.63
12705,S61_4916,,4139.5199999999995
12706,S16_3708,,5662.08
12708,S70_3595,,6213.84
12711,S28_2714,,4223.31
12716,S63_3381,,3403.3999999999996
12718,S50_2757,,9733.35
12726,S21_4135,,10865.5
12735,S12_3016,,3015.5
12736,S43_3744,,3264.96
12746,S33_1611,,5145.75
12752,S54_3972,,7672.08
12755,S33_4845,,5884.75
12759,S26_4896,,6540.04
12763,S15_2042,,4344.8
12766,S70_1144,,5814.36
12767,S33_3651,,3676.3100000000004
12769,S13_4346,,6287.389999999999
12772,S67_2819,,6558.64
12776,S20_2287,,3382.32
12777,S51_1713,,4392.110000000001
12779,S69_1503,,5822.71
12783,S15_3633,,9159.36
12788,S68_2364,,12080.82
12794,S20_2489,,3568.2400000000002
12796,S59_3674,,3564.34
12798,S28_2862,,4709.25
12806,S67_2946,,11824.19
12808,S31_2294,,3676.68
12812,S55_1708,,3281.3199999999997
12819,S55_1494,,11591.32
12822,S18_4430,,7557.18
12828,S51_1588,,3619.68
12831,S56_1638,,5515.0199999999995
12835,S53_2354,,4045.88
12841,S50_4727,,11522.68
12845,S28_2522,,9645.16
12847,S61_2842,,3634.6
12850,S44_2394,,3612.96
12854,S43_3028,,7292.879999999999
12856,S51_1771,,10253.550000000001
12859,S32_4573,,7062.51
12861,S69_3857,,6347.97
12863,S25_1513,,3878.88
12875,S40_2203,,9421.15
12883,S13_3403,,5312.16
12884,S33_2362,,5689.4400000000005
12886,S39_3192,,9602.560000000001
12890,S41_4246,,12496.0
12891,S32_4346,,6132.0
12893,S50_1572,,4716.92
12896,S22_4195,,11490.99
12903,S17_4558,,4253.759999999999
12904,S27_4649,,4654.32
12906,S25_1193,,7382.829999999999
12912,S50_2598,,4046.43
12915,S51_1696,,6441.12
12921,S20_4300,,5746.24
12923,S51_1109,,5599.0
12930,S20_1510,,5848.02
12931,S68_2784,,5300.5
12937,S66_2200,,4085.1
12940,S38_2135,,5240.55
12944,S38_1715,,11683.77
12948,S39_2440,,6179.0
12949,S24_2075,,14346.0
12950,S61_4136,,5852.5199999999995
12952,S58_3813,,3475.6499999999996
12958,S31_3510,,4439.38
12959,S30_3704,,6273.040000000001
12965,S59_3384,,4823.35
12969,S48_3530,,4514.37
12973,S64_4253,,9705.1
12974,S11_3476,,3536.6600000000003
12977,S23_1151,,11048.42
12981,S33_1042,,7994.16
12982,S22_1306,,10635.04
12986,S11_4238,,10720.84
12989,S65_3063,,5146.0199999999995
12997,S59_1450,,5380.0
13000,S61_1492,,6443.82
13006,S16_2148,,5037.92
13007,S31_1582,,10432.32
13009,S15_2979,,10684.08
13013,S44_2137,,7753.4400000000005
13016,S17_3498,,7441.9800000000005
13018,S45_4094,,5324.87
13019,S49_3158,,4673.14
13027,S15_4690,,6662.16
13030,S69_3375,,3266.21
13035,S49_3177,,3075.0
13036,S23_1133,,6933.360000000001
13042,S29_1134,,10731.76
13048,S33_4064,,7353.75
13051,S60_4893,,3202.1000000000004
13061,S29_4133,,4145.34
13062,S54_2226,,7014.4800000000005
13064,S48_4144,,7037.219999999999
13074,S26_2029,,3970.19
13081,S33_1768,,7751.1
13087,S57_4204,,3268.2000000000003
13093,S51_2838,,3786.2400000000002
13094,S22_3912,,7234.5
13095,S57_1078,,5123.25
13103,S21_2356,,4138.01
13105,S50_4508,,8720.88
13108,S26_3240,,5057.28
13112,S34_1263,,10042.5
13115,S13_1560,,4222.68
13129,S48_1882,,3895.1000000000004
13137,S70_3273,,3975.9599999999996
13140,S35_2137,,6723.36
13144,S51_3762,,3798.0
13147,S24_3021,,8924.67
13149,S33_2602,,5541.86
13160,S37_1391,,3165.57
13163,S42_2832,,10239.0
13166,S24_4265,,10434.38
13170,S23_2582,,10018.99
13172,S34_4517,,7680.09
13175,S22_1516,,7497.3
13179,S54_4811,,7549.32
13180,S46_3285,,4138.96
13182,S47_2960,,3620.2599999999998
13185,S65_3144,,10972.64
13187,S39_2748,,3060.46
13188,S10_1925,,7772.37
13190,S33_4774,,3612.44
13191,S31_2768,,7705.25
13202,S49_4888,,6382.03
13206,S61_2757,,5721.25
13210,S69_2864,,4870.58
13214,S24_3286,,13775.300000000001
13223,S59_4699,,3121.2000000000003
13227,S58_1499,,3361.14
13232,S27_2964,,3811.2200000000003
13236,S57_3516,,6448.679999999999
13239,S43_3434,,3614.9300000000003
13240,S22_1649,,4765.0
13243,S19_3567,,4490.4
13245,S16_4203,,6496.46
13251,S67_3173,,7090.02
13252,S67_3441,,3049.83
13253,S56_2729,,3892.2799999999997
13256,S69_3164,,5757.599999999999
13260,S61_2972,,6207.5
13264,S15_4389,,4088.7
13265,S28_2144,,3088.5299999999997
13267,S13_1521,,8754.480000000001
13269,S21_1535,,8721.119999999999
13271,S21_1582,,6929.280000000001
13274,S21_3496,,4530.28
13277,S60_4569,,9523.02
13281,S48_3905,,10068.81
13283,S68_1129,,4574.7
13284,S14_4733,,6896.26
13286,S68_1231,,6040.9800000000005
13289,S67_2710,,5407.360000000001
13295,S23_1731,,4021.52
13309,S26_3326,,3555.0
13310,S45_2800,,12458.5
13314,S41_3159,,4059.64
13318,S37_3598,,3379.26
13319,S44_1414,,6233.759999999999
13321,S59_1176,,5907.0
13324,S35_2723,,7185.199999999999
13327,S23_4696,,5302.219999999999
13329,S64_1842,,4766.58
13333,S28_1493,,3302.5
13340,S54_4390,,9171.9
13341,S49_1685,,3268.2999999999997
13350,S38_4321,,6503.22
13352,S32_3023,,3626.3999999999996
13355,S68_2060,,4744.14
13359,S59_3546,,4758.5
13360,S31_3971,,8307.6
13361,S49_1024,,10930.039999999999
13365,S37_4829,,9940.0
13373,S44_1551,,12764.65
13377,S25_4569,,4646.64
13381,S26_2044,,6400.01
13385,S28_3301,,7196.320000000001
13386,S51_3575,,10768.16
13396,S42_2950,,4800.08
13397,S23_4627,,3648.16
13401,S62_2075,,13592.42
13405,S24_1600,,4483.75
13408,S54_4297,,10618.3
13413,S33_2612,,4244.700000000001
13417,S66_1813,,13845.44
13421,S21_2328,,4678.3
13424,S35_2603,,4486.46
13425,S64_3313,,8668.87
13429,S28_1156,,4289.679999999999
13438,S64_4303,,7028.52
13446,S11_2241,,4171.650000000001
13450,S45_1957,,5395.12
13461,S53_1388,,5608.32
13466,S17_1807,,4076.7999999999997
13469,S58_4717,,4555.42
13471,S36_1703,,6467.039999999999
13474,S29_2716,,7642.249999999999
13480,S56_2743,,5694.839999999999
13482,S10_2908,,6978.4
13486,S41_2455,,9806.28
